BRDG,1.5916601774,-1.7359931126,0.3443378361,1.6237527407,-1.8468783409,-1.5767906054,-0.5997903170,1.6154066800,0.1232053551,-1.7299643745,0.0397593192,-1.7084190161,
CCG,2.2949385717,-1.9166666897,0.7191499611,1.1358180954,-1.3229830914,-1.0912887551,0.4741524418,1.8140921750,-0.2937422089,-0.2813647700,-0.9167979627,0.0663829082,
CSE,-3.7921154965,2.9047037853,-6.4510661166,3.5006011208,-0.8827373201,3.2185048571,-6.5011121570,1.1872351592,1.4176847267,-1.1571671578,-2.1517374853,0.8222682108,
DDR,1.3840513313,0.3499117829,0.8078582643,-0.5356561274,-0.7994082379,-1.8034824205,-0.5584558151,0.4136641872,0.0587220432,-0.1945399131,-0.1669640356,-0.1383028267,
LCS,2.3005974011,-0.9782038547,0.6807798438,1.5259161352,-0.9267694496,-1.2588958774,-0.2139072581,1.8866592081,-0.6164094817,-1.2649910088,-0.6208731688,-0.8226287591,
NCCIP,-4.6933154992,10.5064691914,4.7458932509,2.6359861863,-1.6111144057,2.1241395574,2.2898129256,1.6716594339,-3.0789104498,-0.0930597059,0.1998689163,1.5855169393,
NCMS,1.7472081439,-0.3893786847,1.0676968765,1.3274642638,-0.6805150202,0.0110076052,0.2003036620,0.4982416546,0.4401996471,0.1547620774,-0.5634300346,-0.7610800463,
NOS,1.9459083352,-0.5473436645,-0.1701520091,0.9200393650,-0.3771844350,-0.3019716969,-0.3316107051,0.4787960741,-0.8832110126,-0.1387975128,0.1839470358,0.2745670532,
PMC,0.0908571565,1.9299334580,-4.0272517665,-0.1906997112,8.5073318848,-3.6129846126,2.9842172053,1.3402171758,-1.2980182195,-1.0951993053,-2.5392332901,-0.8928330101,
PMI,-0.8637009943,1.4859247633,-3.0819929651,0.3919010605,3.4131482082,2.2098024391,1.6473963863,1.8458795695,-0.1773040988,0.4233846978,2.9000223236,1.3508028510,
RS,-0.2710374383,3.7874047015,4.4603065630,-4.1702982770,2.4860961556,1.9710035515,-0.4733856036,-3.6406860434,4.5787412751,-2.6610687321,-3.1021821086,0.2608327660,
RTS,-5.9232159313,4.6872497692,-0.3980533513,-3.5654016517,-1.2894819337,-8.1220658962,-3.0197423616,-0.3543981443,0.6579781866,0.8315499595,2.3049558321,-0.3784979268,
STOP,1.8166487136,-0.0025243330,0.4280033193,-0.0540898303,0.4863479386,1.0384368850,0.0054797696,-0.5557770081,-0.1094275179,-0.6294823426,1.4456861791,0.4411587297,
T2SI,2.4438734713,-0.9686457191,0.0909946468,-1.9997394362,0.2955881183,1.8479103837,-0.2202949939,1.1673271052,2.9787136824,-1.3803515778,3.2816447675,-0.4387675414,
